KabKot,H1. Persentase Jaminan Kesehatan,H2. Persentase Keluhan Kesehatan,H3. Persentase Kesakitan,H4. Jumlah Faskes,H5. Lama Rawat Inap,H6. Persentase Bayi Mendapatkan ASI sampai 1 tahun,H7. Persentase ASI sampai Baduta,H8. Rasio Dokter: Kecamatan,H9. Rasio Bidan:Desa/Kelurahan,H10. Rasio Jumlah Perawat:Kecamatan,H11. Angka Kematian Netto,H12. Rasio Posyandu Aktif:Desa/Kelurahan,H13. Persentase Ibu Mati Melahirkan,H14. Rata-rata Persentase Ibu Hamil Imunisasi Td,H15. Persentase Penanganan Neonatal,H16. Jumlah Bayi Mati Neonatal,H17. Persen BBLR,H18. Persentase Kunjunagn Neonatal Lengkap,H19. Persentase IMD,H20. Persentase ASI sampai 6 bulan,H21. Persen Pelayanan Kesehatan Bayi,H22. Cakupan Imunisasi Lanjutan DPT-HB-Hib 4 ,H23. Cakupan Imunisasi Lanjutan Campak/MR2,H24. Persentase Balita Timbang,H25. Persentase Balita Pendek,H26. Persentase Balita Kurus,H27. Persentase Kasus Gigi Dirujuk,H28. Jumlah Terduga TBC,H29. Persentase Keberhasilan Pengobatan TBC,H30. Persentase Pneumonia per Prediksi Terindikasi,H31. Persentase Diare Mendapat Pelayanan,H32. Persentase Hipertensi Mendapat Pelayanan,H33. Persentase DM Mendapat Pelayanan,H34. Persentase ODGJ Mendapat Pelayanan,H35. Persentase Sarana Air Minum Memenuhi Syarat,H36. Persentase Jamban Sehat,H37. Persentase Desa STBM,H38. TTU Memenuhi Syarat Kesehatan,H39. TPM Memenuhi Syarat Kesehatan
KAB. PACITAN,36,17.73,9.1,120,4.41,4.47,92.64,2.75,2.14,52.08,11.9,4.08,0.09,7,49.6,42,5.5,99.4,72.4,64.8,86.2,72.91,75.38,62.6,16.6,4.2,25.73,1921,83,4,22.4,19.6,76.7,156.2,78.5,100,90.1,62.3,36.4
KAB. PONOROGO,127.28,39.59,18.92,210,4.16,3.45,96.11,8.81,1.99,65.24,21.7,2.5,0.09,26.27,61.1,100,4,98.5,25.9,78.8,90.1,86.32,87.25,26,16.3,8.2,5.17,4520,85.5,43.9,36.1,15,86.4,138.2,98,100,100,59.7,53.5
KAB. TRENGGALEK,45.79,43.94,18.17,128,4.69,4.18,94.46,22.21,2.53,63.43,25.5,4.19,0.17,157.12,75.2,36,3.9,100.3,67.4,50.6,89.9,89.6,86.93,63.1,12,3.7,0.14,1914,94,48.8,52.4,13.3,100,30.6,86.6,100,100,77.2,85.9
KAB. TULUNGAGUNG,99.88,,19.19,135,5.05,4.18,100,8.58,2.26,77.95,32.4,4.23,0.1,5.36,86,110,3.1,,64,61.4,87.1,80.95,80.5,45.6,6.1,4.2,1.65,5879,89.2,36.8,59.8,73.6,155.2,111.2,62.2,87.7,81.2,81.8,78.6
KAB. BLITAR,64.09,39.66,18.17,98,4.43,3.62,92.1,23.18,2.27,38.64,14.7,4.36,0.15,31.1,80.7,85,3.8,99.1,100,92.3,91.5,89.84,88.96,43.1,17.6,8.7,1.4,3322,88.9,45.4,29.6,33.1,97.5,94.9,75.9,96.4,86.7,79.1,63.5
KAB. KEDIRI,65.11,24.89,11.75,,5.19,4.4,94.34,13.85,2.41,50.73,33.2,4.4,0.08,45.04,55.1,145,3.3,93,60.6,13,89.8,78.94,79.09,31.5,19.6,9.8,1.17,5093,95.5,35,30.8,10.7,48,102.1,70.3,93.3,99.7,52.5,41.4
KAB. MALANG,50.59,33.26,19.1,261,4.11,4.13,93.66,14.91,2.2,82.82,78.7,5.44,0.06,29.02,79.5,80,1.6,97.2,87.3,,98.8,92.32,92.63,52.7,12.7,4.6,3.24,8945,85.1,66.4,57,21.9,96,94.8,76.6,97.6,93.3,44,47.3
KAB. LUMAJANG,124.01,57.25,16.11,169,4.96,4.17,100,37.52,2.92,65.19,23.5,3.95,0.1,34.68,67.5,113,4.9,101.4,78.3,83.3,105.5,88.71,87.87,38.3,12.6,8.8,5.76,6101,92.3,55.7,71.7,29.7,96,78.2,72,98.2,100,60.5,54.5
KAB. JEMBER,55.98,32.23,14.33,180,,4.11,88.64,11.52,,74.55,37.9,10.88,,3.84,83.8,,5.5,,60.4,67,98.3,77.46,77.52,57.9,13.8,12.3,1.05,24901,87.6,34.4,25,25.7,78.9,47.2,65.3,76.2,71.8,43.9,71.9
KAB. BANYUWANGI,96.48,31.16,16.12,12,,4.1,97.41,22.88,5.12,70.88,24.7,9.42,0.08,30.67,76.8,104,3.6,97.9,85.5,85,84.2,97.84,99.34,35.3,11,3,1.31,7717,90.2,48,51.7,53.8,63.8,50.2,78.7,100,100,65.5,65.6
KAB. BONDOWOSO,115.83,43.43,16.33,14,7.11,4.13,97.53,33.61,2.92,47.22,20.7,3.37,0.18,94,78.3,141,8.3,91.9,97.6,73.2,108.6,,94.67,68.8,12.3,9.6,2.02,5391,65.9,64.7,69.6,15.2,86.6,94.1,81.5,75.8,100,69,73.4
KAB. SITUBONDO,103.91,32.58,15.9,35,4.96,4.68,100,10.94,4.92,53.71,16.2,5.2,0.2,19.4,,126,7,,85.2,74.2,75.4,60.58,59.86,59.5,14,9.1,2.58,5540,93.3,98.2,69.1,72.1,104.8,84.9,98.6,69.9,100,53.3,48.2
KAB. PROBOLINGGO,95.39,39.06,11.98,23,5.56,3.65,94.81,7.08,,45.63,15.4,2.74,,39.79,65.3,92,5.4,103.4,68.1,22.4,102.9,79.91,81.28,76.7,16.8,10.2,3.41,2961,91.4,22.9,29.6,9.4,61,61.7,83.5,74.7,80.6,60.2,65
